ID,Breed,Nei_GrayWolf,Breed group,Age(M),Sex,SpayOrNeut,test?,NumberOfTrialSessions,NumberOfChoices_probe_novel,Neophobia,CortiConc_Ave(*50),CortiConc_SD,Stranger-directed aggression,Owner-directed aggression,Dog-directed aggression,Familiar dog aggression,Trainability,Chasing,Stranger-directed fear,Nonsocial fear,Separation-related Behavior,Touch Sensitivity,Energy,Attachment,Excitability
dog31,Toy Poodle,0.20393,European,78,M,yes,yes,5,0,0.68,43.23535311,12.38456661,1.1,0,0.125,0,2.5,3,0,0.666666667,0.25,0.75,1.5,0.666666667,0
dog32,Shiba,0.18977,Japanese,45,M,yes,no,NA,NA,NA,72.15371861,4.752176533,3.5,0.125,3.875,0.75,2.5,4,4,3.333333333,0,2.5,4,0.666666667,4
dog33,Akita,0.19619,Japanese,93,F,yes,no,NA,NA,NA,32.70513446,6.475300083,0,0,0.333333333,0,2.375,0,0,0.333333333,0,0,0,0,0.5
dog34,Shiba,0.18977,Japanese,78,M,yes,yes,4,0,0.17,31.699512,11.10526206,0,0,0.142857143,0,2.5,0.666666667,0,1,0.125,0.25,0.166666667,1,1
dog35,Akita,0.19619,Japanese,41,F,yes,yes,6,4,0.1,60.07555956,5.649195551,0.2,0,1,0,2.625,1.5,0.5,0.666666667,0,0.333333333,0.833333333,0.5,0.5
dog36,Miniature Schnauzer,0.277323,European,11,M,yes,no,NA,NA,NA,85.60191959,16.99301558,0.3,0.125,0.125,0,2.625,1.666666667,0,0.333333333,1.875,0.75,3,1.166666667,2.5
dog37,Shiba,0.18977,Japanese,143,F,yes,no,NA,NA,NA,79.65039557,3.601867313,1,0,1.75,0.75,2.875,4,0.25,0.833333333,0,0.5,1,1,1
dog38,Shiba,0.18977,Japanese,144,M,yes,no,NA,NA,NA,132.8171184,44.74207873,0.7,0,2,3.5,2.875,4,0,0.833333333,0,0.5,1.5,0.833333333,1.5
dog39,Akita,0.19619,Japanese,117,M,yes,no,NA,NA,NA,14.07729419,0.753473077,2.6,0.125,1.875,1.75,3,4,2.5,2.666666667,3.125,0,1.666666667,1.833333333,1
dog40,Akita,0.19619,Japanese,80,M,no,yes,3,3,-0.635,26.64848083,1.002841776,0,0,0.875,1,2.5,0.666666667,0,0,0,1.5,0.5,3.333333333,1
dog41,Shiba,0.18977,Japanese,55,F,yes,no,NA,NA,NA,57.46693862,16.72943063,1.222222222,0,0.833333333,0,2.375,3,1.5,0.5,0,1,1.333333333,1.6,0.5
dog42,Akita,0.19619,Japanese,29,F,yes,yes,4,2,0.07,37.42681362,4.335742738,0.3,0,0.375,0,2.25,2,0.5,0,0,0.5,0.666666667,0.666666667,0.5
dog43,Shiba,0.18977,Japanese,31,F,yes,no,NA,NA,NA,32.59514805,9.868072633,0,0,0.125,0,3,0.333333333,0,0.166666667,0.125,0.25,1.333333333,1.333333333,2.5
dog44,Akita,0.19619,Japanese,64,M,no,no,NA,NA,NA,14.49872262,2.429781321,0.5,0,1.875,0,2,2,0,0.666666667,0,0,1.333333333,1.166666667,0.5
dog45,Akita,0.19619,Japanese,91,F,yes,no,NA,NA,NA,23.20811708,2.762290434,0.9,0,1.625,0,1.75,1.666666667,2.25,0.833333333,0,0,0.666666667,0.166666667,0.5
